Year,Quarter,highlight,"Total
Risk","Borrower
Risk","Product
Risk"
1998,1,.,20.24944569,18.61,1.64
1998,2,.,20.465,18.81036729,1.654
1998,3,.,19.432,18.714,0.718767215
1998,4,.,19.111,18.396,0.714
1999,1,.,19.587,18.773,0.814
1999,2,.,20.904,19.509,1.395
1999,3,.,21.644,19.698,1.946
1999,4,.,22.15,20.04311288,2.107
2000,1,.,20.48,18.935,1.545
2000,2,.,19.085,17.689,1.396
2000,3,.,20.153,18.305,1.848
2000,4,.,21.041,18.798,2.243
2001,1,17.773,22.218,19.359,2.858
2001,2,17.773,21.88747873,19.053,2.834
2001,3,17.773,22.326,18.987,3.339
2001,4,17.773,22.261,18.83,3.431
2002,1,17.773,22.21,18.996,3.214
2002,2,17.773,22.756,19.427,3.329
2002,3,17.773,21.964,18.76626619,3.198
2002,4,17.773,21.365,18.455,2.911
2003,1,17.773,20.765,18.285,2.48
2003,2,17.773,20.293,18.069,2.223
2003,3,17.773,19.795,17.539,2.256
2003,4,.,21.07598148,18.419,2.657
2004,1,.,21.499,18.802,2.697
2004,2,.,21.43366422,18.803,2.63
2004,3,.,21.731,18.81,2.921
2004,4,.,22.055,19.198,2.858
2005,1,.,21.612,19.296,2.316
2005,2,.,20.449,18.355,2.094
2005,3,.,19.915,17.481,2.434092183
2005,4,.,19.957,17.549,2.408
2006,1,.,20.702,18.167,2.535
2006,2,.,20.366,17.878,2.488
2006,3,.,20.352,18.034,2.317
2006,4,.,22.574,19.923,2.652
2007,1,.,20.969,19.565,1.404
2007,2,.,20.966,19.783,1.183
2007,3,.,20.81634899,19.761,1.055
2007,4,.,20.612,19.72,0.891
2008,1,.,18.9,18.123,0.777
2008,2,.,16.212,15.62,0.592
2008,3,.,15.75,15.163,0.588
2008,4,.,14.72,14.229,0.491
2009,1,.,13.823,13.431,0.391967643
2009,2,.,11.91782018,11.591,0.326980192
2009,3,.,11.493,10.9891493,0.504
2009,4,.,11.512,11.079,0.433
2010,1,.,11.277,10.83090744,0.447
2010,2,.,11.496,11.136,0.361
2010,3,.,11.262,10.946,0.315870747
2010,4,.,10.969,10.703,0.266
2011,1,.,10.703,10.412,0.29
2011,2,.,11.034,10.76,0.274
2011,3,.,11.306,11.06,0.246
2011,4,.,11.499,11.249,0.249
2012,1,.,11.492,11.246,0.245
2012,2,.,11.457,11.255,0.202
2012,3,.,11.255,11.059,0.196
2012,4,.,11.279,11.069,0.21
2013,1,.,10.148,10.029,0.119
2013,2,.,9.735,9.682,0.052
2013,3,.,9.6,9.541,0.059
2013,4,.,9.826,9.748,0.078
2014,1,.,10.048,9.971,0.078
2014,2,.,10.35892126,10.271,0.088
2014,3,.,10.315,10.25217277,0.063
2014,4,.,10.455,10.385,0.07
2015,1,.,10.0645959,10.0645959,-1.39E-15
2015,2,.,9.606865303,9.606865303,-4.16E-15
2015,3,.,9.694577053,9.694435465,0.000141588
2015,4,.,9.804572611,9.804421253,0.000151358
2016,1,.,10.21698233,10.21698066,1.67E-06
2016,2,.,10.01695954,10.0169548,4.74E-06
2016,3,.,9.849483748,9.849479267,4.48E-06
2016,4,.,9.959678069,9.95967305,5.02E-06
2017,1,.,10.27989225,10.27984336,4.89E-05
2017,2,.,11.15414253,11.15414204,4.95E-07
2017,3,.,11.1341872,11.13417728,9.91E-06
2017,4,.,11.41141346,11.41141334,1.19E-07
2018,1,.,11.55794619,11.55794519,1.00E-06
2018,2,.,11.69969985,11.69960873,9.11E-05
2018,3,.,11.6408341,11.64083145,2.65E-06
2018,4,.,11.81968591,11.81968435,1.56E-06
2019,1,.,12.14594376,12.14594175,2.01E-06
2019,2,.,11.9679351,11.9679337,1.40E-06
2019,3,.,11.5953495,11.59534789,1.61E-06
2019,4,.,11.4633776,11.46337645,1.15E-06
2020,1,.,11.48836474,11.4883619,2.84E-06
2020,2,.,10.79502163,10.79421969,0.000801944
2020,3,.,10.37710055,10.37710047,8.14E-08
2020,4,.,10.56069666,10.56069655,1.12E-07
2021,1,.,10.75476768,10.75475744,1.02E-05
2021,2,.,11.12995974,11.1265346,0.003425139
2021,3,.,11.33770596,11.33456751,0.003138453
2021,4,.,11.33265349,11.33002353,0.002629969
2022,1,.,11.26544719,11.26088576,0.004561436
