DATE,PNRESCONS
2000-01-01,247213
2000-02-01,265200
2000-03-01,268020
2000-04-01,264832
2000-05-01,275989
2000-06-01,271873
2000-07-01,274805
2000-08-01,284502
2000-09-01,289543
2000-10-01,286731
2000-11-01,288986
2000-12-01,281975
2001-01-01,278005
2001-02-01,270735
2001-03-01,280450
2001-04-01,278653
2001-05-01,281069
2001-06-01,284499
2001-07-01,279200
2001-08-01,274690
2001-09-01,270320
2001-10-01,268404
2001-11-01,260359
2001-12-01,264194
2002-01-01,263731
2002-02-01,256668
2002-03-01,252252
2002-04-01,250341
2002-05-01,241636
2002-06-01,235344
2002-07-01,229426
2002-08-01,227442
2002-09-01,224568
2002-10-01,228572
2002-11-01,228716
2002-12-01,222509
2003-01-01,226819
2003-02-01,225646
2003-03-01,229653
2003-04-01,227092
2003-05-01,232573
2003-06-01,231498
2003-07-01,224707
2003-08-01,228595
2003-09-01,233700
2003-10-01,233121
2003-11-01,226077
2003-12-01,232151
2004-01-01,227349
2004-02-01,227051
2004-03-01,233056
2004-04-01,233437
2004-05-01,232956
2004-06-01,232519
2004-07-01,238888
2004-08-01,241348
2004-09-01,246868
2004-10-01,246581
2004-11-01,247029
2004-12-01,246725
2005-01-01,250158
2005-02-01,251796
2005-03-01,251961
2005-04-01,254161
2005-05-01,255438
2005-06-01,252025
2005-07-01,253900
2005-08-01,257599
2005-09-01,263183
2005-10-01,265451
2005-11-01,269373
2005-12-01,272395
2006-01-01,277343
2006-02-01,280283
2006-03-01,285365
2006-04-01,287651
2006-05-01,292927
2006-06-01,299334
2006-07-01,301402
2006-08-01,306563
2006-09-01,307094
2006-10-01,304567
2006-11-01,312164
2006-12-01,320162
2007-01-01,320249
2007-02-01,332339
2007-03-01,340354
2007-04-01,345178
2007-05-01,358048
2007-06-01,369495
2007-07-01,370632
2007-08-01,384672
2007-09-01,395532
2007-10-01,408729
2007-11-01,402136
2007-12-01,401961
2008-01-01,414958
2008-02-01,411129
2008-03-01,406437
2008-04-01,411413
2008-05-01,414316
