DATE,B230RC0Q173SBEA
2000-01-01,281304
2000-04-01,282002
2000-07-01,282769
2000-10-01,283518
2001-01-01,284169
2001-04-01,284838
2001-07-01,285584
2001-10-01,286311
2002-01-01,286935
2002-04-01,287574
2002-07-01,288303
2002-10-01,289007
2003-01-01,289609
2003-04-01,290253
2003-07-01,290974
2003-10-01,291669
2004-01-01,292237
2004-04-01,292875
2004-07-01,293603
2004-10-01,294334
2005-01-01,294957
2005-04-01,295588
2005-07-01,296340
2005-10-01,297086
2006-01-01,297736
2006-04-01,298408
2006-07-01,299180
2006-10-01,299946
2007-01-01,300609
2007-04-01,301284
2007-07-01,302062
2007-10-01,302829
2008-01-01,303494
2008-04-01,304160
2008-07-01,304902
2008-10-01,305616
2009-01-01,306237
2009-04-01,306866
2009-07-01,307573
2009-10-01,308285
2010-01-01,308901
2010-04-01,309488.0
2010-07-01,310148.0
2010-10-01,310817.0
2011-01-01,311376.0
2011-04-01,311940.0
2011-07-01,312606.0
2011-10-01,313258.0
2012-01-01,313813.0
2012-04-01,314373.0
2012-07-01,315030.0
2012-10-01,315685.0
2013-01-01,316196.0
2013-04-01,316733.0
2013-07-01,317396.0
2013-10-01,318072.0
2014-01-01,318645.0
2014-04-01,319228.0
2014-07-01,319919.0
2014-10-01,320611.0
2015-01-01,321168.0
2015-04-01,321744.0
2015-07-01,322428.0
2015-10-01,323110.0
2016-01-01,323689.0
2016-04-01,324265.0
2016-07-01,324926.0
2016-10-01,325557.0
2017-01-01,326053.0
2017-04-01,326554.0
2017-07-01,327140.0
2017-10-01,327692.0
2018-01-01,328091.0
2018-04-01,328526.0
2018-07-01,329040.0
2018-10-01,329522.0
2019-01-01,329868.0
2019-04-01,330245.0
2019-07-01,330729.0
2019-10-01,331208.0
2020-01-01,331534.0
2020-04-01,331699.0
2020-07-01,331872.0
2020-10-01,332045.0
2021-01-01,331989.0
2021-04-01,332149.0
2021-07-01,332480.0
2021-10-01,332786.0
2022-01-01,332978.0
2022-04-01,333321.0
2022-07-01,333799.0
2022-10-01,334282.0
2023-01-01,334641.0
2023-04-01,335019.0
