DATE,PRRESCONS
2000-01-01,353065
2000-02-01,351933
2000-03-01,353452
2000-04-01,356188
2000-05-01,349907
2000-06-01,348133
2000-07-01,337374
2000-08-01,337583
2000-09-01,339048
2000-10-01,344095
2000-11-01,347301
2000-12-01,344139
2001-01-01,348279
2001-02-01,353629
2001-03-01,350029
2001-04-01,361991
2001-05-01,360534
2001-06-01,365905
2001-07-01,366500
2001-08-01,369000
2001-09-01,368809
2001-10-01,370957
2001-11-01,375803
2001-12-01,376279
2002-01-01,377631
2002-02-01,385745
2002-03-01,385406
2002-04-01,398990
2002-05-01,394223
2002-06-01,401920
2002-07-01,404632
2002-08-01,398875
2002-09-01,394820
2002-10-01,397077
2002-11-01,401424
2002-12-01,411758
2003-01-01,417788
2003-02-01,417500
2003-03-01,413303
2003-04-01,420510
2003-05-01,421143
2003-06-01,430929
2003-07-01,448917
2003-08-01,453031
2003-09-01,458676
2003-10-01,469855
2003-11-01,485245
2003-12-01,503356
2004-01-01,498640
2004-02-01,500439
2004-03-01,506879
2004-04-01,512400
2004-05-01,522534
2004-06-01,527794
2004-07-01,543260
2004-08-01,551447
2004-09-01,546306
2004-10-01,551137
2004-11-01,550392
2004-12-01,566284
2005-01-01,575650
2005-02-01,588435
2005-03-01,591580
2005-04-01,598335
2005-05-01,603707
2005-06-01,616958
2005-07-01,628750
2005-08-01,633710
2005-09-01,647374
2005-10-01,658590
2005-11-01,665376
2005-12-01,670522
2006-01-01,675679
2006-02-01,678562
2006-03-01,668311
2006-04-01,650388
2006-05-01,633815
2006-06-01,615053
2006-07-01,598487
2006-08-01,584460
2006-09-01,573878
2006-10-01,561444
2006-11-01,548971
2006-12-01,545011
2007-01-01,537571
2007-02-01,531641
2007-03-01,527865
2007-04-01,523666
2007-05-01,514131
2007-06-01,505936
2007-07-01,495976
2007-08-01,480974
2007-09-01,465709
2007-10-01,447819
2007-11-01,431878
2007-12-01,416486
2008-01-01,402138
2008-02-01,386197
2008-03-01,390471
2008-04-01,385328
2008-05-01,381911
2008-06-01,374495
2008-07-01,364873
2008-08-01,352598
2008-09-01,340396
2008-10-01,329304
2008-11-01,312540
2008-12-01,293997
2009-01-01,283870
2009-02-01,267938
2009-03-01,254645
2009-04-01,243958
2009-05-01,237188
2009-06-01,237343
2009-07-01,244141
2009-08-01,250768
2009-09-01,254135
2009-10-01,254942
2009-11-01,255941
2009-12-01,255801
2010-01-01,254826
