,HCAI_GOVT
2000-01,20.48
2000-02,20.02
2000-03,19.56
2000-04,19.085
2000-05,19.445
2000-06,19.805
2000-07,20.153
2000-08,20.453
2000-09,20.753
2000-10,21.041
2000-11,21.431
2000-12,21.821
2001-01,22.218
2001-02,22.108
2001-03,21.998
2001-04,21.88747873
2001-05,22.03747873
2001-06,22.187478730000002
2001-07,22.326
2001-08,22.306
2001-09,22.286
2001-10,22.261
2001-11,22.241
2001-12,22.221
2002-01,22.21
2002-02,22.39
2002-03,22.57
2002-04,22.756
2002-05,22.496
2002-06,22.236
2002-07,21.964
2002-08,21.764
2002-09,21.564
2002-10,21.365
2002-11,21.165
2002-12,20.965
2003-01,20.765
2003-02,20.605
2003-03,20.445
2003-04,20.293
2003-05,20.122999999999998
2003-06,19.953
2003-07,19.795
2003-08,20.225
2003-09,20.655
2003-10,21.07598148
2003-11,21.21598148
2003-12,21.35598148
2004-01,21.499
2004-02,21.479
2004-03,21.459
2004-04,21.43366422
2004-05,21.533664220000002
2004-06,21.63366422
2004-07,21.731
2004-08,21.841
2004-09,21.951
2004-10,22.055
2004-11,21.905
2004-12,21.755
2005-01,21.612
2005-02,21.221999999999998
2005-03,20.831999999999997
2005-04,20.449
2005-05,20.269000000000002
2005-06,20.089000000000002
2005-07,19.915
2005-08,19.925
2005-09,19.935
2005-10,19.957
2005-11,20.207
2005-12,20.457
2006-01,20.702
2006-02,20.592000000000002
2006-03,20.482000000000003
2006-04,20.366
2006-05,20.366
2006-06,20.366
2006-07,20.352
2006-08,21.092
2006-09,21.832
2006-10,22.574
2006-11,22.034000000000002
2006-12,21.494
2007-01,20.969
2007-02,20.969
2007-03,20.969
2007-04,20.966
2007-05,20.916
2007-06,20.866
2007-07,20.81634899
2007-08,20.74634899
2007-09,20.67634899
2007-10,20.612
2007-11,20.041999999999998
2007-12,19.471999999999998
2008-01,18.9
2008-02,18.0
2008-03,17.099999999999998
2008-04,16.212
2008-05,16.062
2008-06,15.911999999999999
2008-07,15.75
2008-08,15.41
2008-09,15.07
2008-10,14.72
2008-11,14.42
2008-12,14.120000000000001
2009-01,13.823
2009-02,13.183
2009-03,12.543000000000001
2009-04,11.91782018
2009-05,11.777820179999999
2009-06,11.63782018
2009-07,11.493
2009-08,11.503
2009-09,11.513
2009-10,11.512
2009-11,11.432
2009-12,11.352
2010-01,11.277
2010-02,11.347
2010-03,11.417
2010-04,11.496
2010-05,11.416
2010-06,11.336
2010-07,11.262
2010-08,11.162
2010-09,11.062000000000001
2010-10,10.969
2010-11,10.879
2010-12,10.789
2011-01,10.703
2011-02,10.812999999999999
2011-03,10.923
2011-04,11.034
2011-05,11.124
2011-06,11.214
2011-07,11.306
2011-08,11.366
2011-09,11.425999999999998
2011-10,11.499
2011-11,11.499
2011-12,11.499
2012-01,11.492
2012-02,11.482000000000001
2012-03,11.472000000000001
2012-04,11.457
2012-05,11.387
2012-06,11.317
2012-07,11.255
2012-08,11.265
2012-09,11.275
2012-10,11.279
2012-11,10.899
2012-12,10.519
2013-01,10.148
2013-02,10.008
2013-03,9.868
2013-04,9.735
2013-05,9.695
2013-06,9.655
2013-07,9.6
2013-08,9.68
2013-09,9.76
2013-10,9.826
2013-11,9.896
2013-12,9.966000000000001
2014-01,10.048
2014-02,10.148
2014-03,10.248
2014-04,10.35892126
2014-05,10.348921260000001
2014-06,10.338921260000001
2014-07,10.315
2014-08,10.365
2014-09,10.415
2014-10,10.455
2014-11,10.325
2014-12,10.195
2015-01,10.0645959
2015-02,9.9145959
2015-03,9.7645959
2015-04,9.606865303
2015-05,9.636865302999999
2015-06,9.666865303
2015-07,9.694577053
2015-08,9.734577052999999
2015-09,9.774577053
2015-10,9.804572611
2015-11,9.944572611
2015-12,10.084572610999999
2016-01,10.21698233
2016-02,10.14698233
2016-03,10.07698233
2016-04,10.01695954
2016-05,9.95695954
2016-06,9.896959540000001
2016-07,9.849483748
2016-08,9.889483748
2016-09,9.929483748
2016-10,9.959678069
2016-11,10.069678069
2016-12,10.179678069000001
2017-01,10.27989225
2017-02,10.569892249999999
2017-03,10.85989225
2017-04,11.15414253
2017-05,11.14414253
2017-06,11.13414253
2017-07,11.1341872
2017-08,11.2241872
2017-09,11.3141872
2017-10,11.41141346
2017-11,11.461413460000001
2017-12,11.51141346
2018-01,11.55794619
2018-02,11.60794619
2018-03,11.657946189999999
2018-04,11.69969985
2018-05,11.67969985
2018-06,11.65969985
2018-07,11.6408341
2018-08,11.7008341
2018-09,11.760834099999999
2018-10,11.81968591
2018-11,11.92968591
2018-12,12.039685910000001
2019-01,12.14594376
2019-02,12.08594376
2019-03,12.02594376
2019-04,11.9679351
2019-05,11.8479351
2019-06,11.7279351
2019-07,11.5953495
2019-08,11.5553495
2019-09,11.5153495
2019-10,11.4633776
2019-11,11.4733776
2019-12,11.483377599999999
2020-01,11.48836474
2020-02,11.25836474
2020-03,11.028364739999999
2020-04,10.79502163
2020-05,10.65502163
2020-06,10.515021630000001
2020-07,10.37710055
2020-08,10.43710055
2020-09,10.497100549999999
2020-10,10.56069666
2020-11,10.62069666
2020-12,10.680696659999999
