,HCAI_GSE
2000-01,6.699502667
2000-02,6.639502667
2000-03,6.579502667
2000-04,6.517766177
2000-05,6.437766177
2000-06,6.357766177
2000-07,6.273571575
2000-08,6.273571575
2000-09,6.273571575
2000-10,6.274358113
2000-11,6.1243581129999995
2000-12,5.974358113
2001-01,5.835833945
2001-02,5.7758339450000005
2001-03,5.715833945
2001-04,5.646561069
2001-05,5.616561068999999
2001-06,5.586561069
2001-07,5.562341532
2001-08,5.4023415319999994
2001-09,5.242341531999999
2001-10,5.078796687
2001-11,5.108796687
2001-12,5.138796686999999
2002-01,5.179170563
2002-02,5.379170563
2002-03,5.579170563
2002-04,5.767403773
2002-05,5.727403773
2002-06,5.687403773
2002-07,5.633759119
2002-08,5.603759118999999
2002-09,5.573759119
2002-10,5.554085017
2002-11,5.564085017
2002-12,5.574085017
2003-01,5.590053221
2003-02,5.570053221
2003-03,5.550053221
2003-04,5.527591344
2003-05,5.557591344
2003-06,5.587591344
2003-07,5.61546195
2003-08,5.74546195
2003-09,5.87546195
2003-10,6.006090735
2003-11,6.046090735
2003-12,6.086090735
2004-01,6.123230689
2004-02,6.103230689
2004-03,6.083230689
2004-04,6.064002572
2004-05,6.134002572
2004-06,6.204002571999999
2004-07,6.273903333
2004-08,6.273903333
2004-09,6.273903333
2004-10,6.259126437
2004-11,6.269126437
2004-12,6.2791264369999995
2005-01,6.275362861
2005-02,6.165362860999999
2005-03,6.055362861
2005-04,5.959056063
2005-05,5.819056063000001
2005-06,5.679056063
2005-07,5.537896201
2005-08,5.747896201
2005-09,5.957896201
2005-10,6.177083637
2005-11,6.327083637
2005-12,6.477083637
2006-01,6.631796279
2006-02,6.701796279
2006-03,6.771796278999999
2006-04,6.828372784
2006-05,6.958372784
2006-06,7.088372784
2006-07,7.229796828
2006-08,7.329796827999999
2006-09,7.429796828
2006-10,7.524038627
2006-11,7.6840386270000005
2006-12,7.844038627000001
2007-01,8.019024255
2007-02,8.199024255
2007-03,8.379024255
2007-04,8.571120082
2007-05,8.451120082000001
2007-06,8.331120082
2007-07,8.219771195
2007-08,8.059771195
2007-09,7.899771195
2007-10,7.747088681
2007-11,7.277088681
2007-12,6.807088681
2008-01,6.341538995
2008-02,5.661538995
2008-03,4.981538994999999
2008-04,4.296422436
2008-05,4.056422436
2008-06,3.8164224360000003
2008-07,3.571247116
2008-08,3.3912471159999997
2008-09,3.211247116
2008-10,3.018102168
2008-11,2.648102168
2008-12,2.278102168
2009-01,1.915486978
2009-02,1.8454869779999998
2009-03,1.775486978
2009-04,1.709700312
2009-05,1.659700312
2009-06,1.609700312
