,HCAI_PP
2000-01,17.08718836
2000-02,16.92718836
2000-03,16.76718836
2000-04,16.59375416
2000-05,16.18375416
2000-06,15.77375416
2000-07,15.35747403
2000-08,15.497474030000001
2000-09,15.63747403
2000-10,15.77915993
2000-11,15.93915993
2000-12,16.09915993
2001-01,16.25298916
2001-02,16.05298916
2001-03,15.852989159999998
2001-04,15.66419611
2001-05,15.51419611
2001-06,15.36419611
2001-07,15.21256375
2001-08,15.20256375
2001-09,15.19256375
2001-10,15.18807607
2001-11,15.368076069999999
2001-12,15.548076069999999
2002-01,15.73934624
2002-02,15.73934624
2002-03,15.73934624
2002-04,15.7432279
2002-05,15.8432279
2002-06,15.9432279
2002-07,16.04755382
2002-08,16.167553820000002
2002-09,16.28755382
2002-10,16.40356533
2002-11,16.68356533
2002-12,16.963565329999998
2003-01,17.23083568
2003-02,17.110835679999997
2003-03,16.99083568
2003-04,16.86274813
2003-05,16.89274813
2003-06,16.92274813
2003-07,16.9447071
2003-08,17.5347071
2003-09,18.1247071
2003-10,18.71549449
2003-11,18.77549449
2003-12,18.835494490000002
2004-01,18.89475232
2004-02,18.844752319999998
2004-03,18.794752319999997
2004-04,18.75948013
2004-05,19.22948013
2004-06,19.69948013
2004-07,20.18101215
2004-08,20.02101215
2004-09,19.86101215
2004-10,19.68728084
2004-11,19.77728084
2004-12,19.86728084
2005-01,19.9500262
2005-02,20.0800262
2005-03,20.2100262
2005-04,20.32669546
2005-05,20.24669546
2005-06,20.16669546
2005-07,20.09013093
2005-08,20.42013093
2005-09,20.75013093
2005-10,21.08794378
2005-11,21.31794378
2005-12,21.54794378
2006-01,21.77388394
2006-02,21.66388394
2006-03,21.553883940000002
2006-04,21.43731098
2006-05,21.40731098
2006-06,21.37731098
2006-07,21.36200647
2006-08,21.35200647
2006-09,21.34200647
2006-10,21.32123934
2006-11,20.301239340000002
2006-12,19.281239340000003
2007-01,18.2491288
2007-02,16.0091288
2007-03,13.7691288
2007-04,11.54173958
2007-05,11.11173958
2007-06,10.68173958
2007-07,10.2635292
2007-08,10.2935292
2007-09,10.323529200000001
2007-10,10.36258546
2007-11,9.64258546
2007-12,8.92258546
2008-01,8.207419812
2008-02,7.4974198119999995
2008-03,6.7874198119999996
2008-04,6.06396669
2008-05,5.77396669
2008-06,5.48396669
2008-07,5.199100982
2008-08,5.4291009820000005
2008-09,5.659100982
2008-10,5.897155697
2008-11,6.127155697
2008-12,6.357155697
2009-01,6.591277731
2009-02,6.381277731
2009-03,6.171277731
2009-04,5.957940152
2009-05,6.077940152
2009-06,6.197940152
2009-07,6.324835435
2009-08,6.734835435
2009-09,7.144835435
2009-10,7.568348808
2009-11,7.388348808
2009-12,7.208348807999999
2010-01,7.014017918
2010-02,6.684017918
2010-03,6.354017918
2010-04,6.016956785
2010-05,5.5669567849999995
2010-06,5.116956784999999
2010-07,4.671539776
2010-08,4.481539776
2010-09,4.2915397760000005
2010-10,4.096322512
2010-11,4.586322512000001
2010-12,5.076322512000001
2011-01,5.567214832
2011-02,4.777214832
2011-03,3.9872148320000003
2011-04,3.207698156
2011-05,3.3476981560000003
2011-06,3.4876981560000004
2011-07,3.640092348
2011-08,3.830092348
2011-09,4.020092348
2011-10,4.220913643
2011-11,4.360913643
2011-12,4.5009136430000005
2012-01,4.65001325
2012-02,4.30001325
2012-03,3.9500132499999996
2012-04,3.613364979
2012-05,3.683364979
2012-06,3.753364979
2012-07,3.819880056
2012-08,3.699880056
2012-09,3.5798800560000004
2012-10,3.45865384
2012-11,3.25865384
2012-12,3.0586538400000003
2013-01,2.853973046
2013-02,2.693973046
2013-03,2.5339730460000003
2013-04,2.374676243
2013-05,2.3446762430000003
2013-06,2.314676243
2013-07,2.293091705
2013-08,2.333091705
2013-09,2.373091705
2013-10,2.421580872
2013-11,2.4715808719999997
2013-12,2.521580872
2014-01,2.56351467
2014-02,2.49351467
2014-03,2.42351467
2014-04,2.34249646
2014-05,2.33249646
2014-06,2.32249646
2014-07,2.31424131
2014-08,2.3242413099999997
2014-09,2.33424131
2014-10,2.356721698
2014-11,2.376721698
2014-12,2.396721698
2015-01,2.408901597
2015-02,2.388901597
2015-03,2.368901597
2015-04,2.335026779
2015-05,2.335026779
2015-06,2.335026779
2015-07,2.327667975
2015-08,2.3576679749999996
2015-09,2.387667975
2015-10,2.431865211
2015-11,2.491865211
2015-12,2.551865211
2016-01,2.613578807
2016-02,2.5835788070000003
2016-03,2.553578807
2016-04,2.535300756
2016-05,2.535300756
2016-06,2.535300756
2016-07,2.539516547
2016-08,2.5495165469999996
2016-09,2.559516547
2016-10,2.577622934
2016-11,2.597622934
2016-12,2.617622934
2017-01,2.641811645
2017-02,2.6118116450000004
2017-03,2.581811645
2017-04,2.55809632
2017-05,2.53809632
2017-06,2.51809632
2017-07,2.484689978
2017-08,2.514689978
2017-09,2.544689978
2017-10,2.583717381
2017-11,2.563717381
2017-12,2.543717381
