DATE,PERMIT
2000-01,1727.0
2000-02,1692.0
2000-03,1651.0
2000-04,1597.0
2000-05,1543.0
2000-06,1572.0
2000-07,1542.0
2000-08,1552.0
2000-09,1570.0
2000-10,1577.0
2000-11,1614.0
2000-12,1543.0
2001-01,1699.0
2001-02,1656.0
2001-03,1659.0
2001-04,1666.0
2001-05,1665.0
2001-06,1626.0
2001-07,1598.0
2001-08,1615.0
2001-09,1565.0
2001-10,1566.0
2001-11,1651.0
2001-12,1680.0
2002-01,1665.0
2002-02,1787.0
2002-03,1691.0
2002-04,1669.0
2002-05,1716.0
2002-06,1758.0
2002-07,1738.0
2002-08,1695.0
2002-09,1803.0
2002-10,1799.0
2002-11,1771.0
2002-12,1896.0
2003-01,1808.0
2003-02,1854.0
2003-03,1757.0
2003-04,1803.0
2003-05,1835.0
2003-06,1875.0
2003-07,1885.0
2003-08,1966.0
2003-09,1961.0
2003-10,2012.0
2003-11,1918.0
2003-12,1987.0
2004-01,1952.0
2004-02,1966.0
2004-03,2066.0
2004-04,2070.0
2004-05,2150.0
2004-06,2020.0
2004-07,2112.0
2004-08,2056.0
2004-09,2041.0
2004-10,2097.0
2004-11,2079.0
2004-12,2082.0
2005-01,2139.0
2005-02,2114.0
2005-03,2062.0
2005-04,2150.0
2005-05,2085.0
2005-06,2178.0
2005-07,2203.0
2005-08,2219.0
2005-09,2263.0
2005-10,2170.0
2005-11,2218.0
2005-12,2120.0
2006-01,2212.0
2006-02,2141.0
2006-03,2118.0
2006-04,1998.0
2006-05,1905.0
2006-06,1867.0
2006-07,1763.0
2006-08,1722.0
2006-09,1655.0
2006-10,1570.0
2006-11,1535.0
2006-12,1638.0
2007-01,1626.0
2007-02,1598.0
2007-03,1596.0
2007-04,1470.0
2007-05,1493.0
2007-06,1407.0
2007-07,1361.0
2007-08,1321.0
2007-09,1261.0
2007-10,1192.0
2007-11,1224.0
2007-12,1149.0
2008-01,1094.0
2008-02,1014.0
2008-03,967.0
2008-04,1008.0
2008-05,995.0
2008-06,1180.0
2008-07,921.0
2008-08,858.0
2008-09,797.0
2008-10,736.0
2008-11,626.0
2008-12,554.0
2009-01,545.0
2009-02,558.0
2009-03,513.0
2009-04,521.0
2009-05,556.0
2009-06,601.0
2009-07,595.0
2009-08,616.0
2009-09,609.0
2009-10,583.0
2009-11,623.0
2009-12,664.0
2010-01,636.0
2010-02,650.0
2010-03,687.0
2010-04,637.0
2010-05,575.0
2010-06,587.0
2010-07,579.0
2010-08,580.0
2010-09,563.0
2010-10,558.0
2010-11,560.0
2010-12,632.0
2011-01,576.0
2011-02,542.0
2011-03,583.0
2011-04,581.0
2011-05,618.0
2011-06,636.0
2011-07,621.0
2011-08,647.0
2011-09,610.0
2011-10,671.0
2011-11,706.0
2011-12,697.0
2012-01,712.0
2012-02,738.0
2012-03,806.0
2012-04,732.0
2012-05,796.0
2012-06,794.0
2012-07,849.0
2012-08,840.0
2012-09,930.0
2012-10,887.0
2012-11,917.0
2012-12,941.0
2013-01,940.0
2013-02,980.0
2013-03,936.0
2013-04,1012.0
2013-05,1003.0
2013-06,942.0
2013-07,997.0
2013-08,964.0
2013-09,1004.0
2013-10,1044.0
2013-11,1029.0
2013-12,1005.0
2014-01,976.0
2014-02,1039.0
2014-03,1067.0
2014-04,1090.0
2014-05,1018.0
2014-06,1010.0
2014-07,1076.0
2014-08,1047.0
2014-09,1077.0
2014-10,1094.0
2014-11,1059.0
2014-12,1072.0
2015-01,1049.0
2015-02,1127.0
2015-03,1072.0
2015-04,1166.0
2015-05,1272.0
2015-06,1379.0
2015-07,1140.0
2015-08,1165.0
2015-09,1144.0
2015-10,1160.0
2015-11,1244.0
2015-12,1211.0
2016-01,1171.0
2016-02,1172.0
2016-03,1118.0
2016-04,1160.0
2016-05,1205.0
2016-06,1208.0
2016-07,1198.0
2016-08,1201.0
2016-09,1303.0
2016-10,1254.0
2016-11,1230.0
2016-12,1248.0
2017-01,1296.0
2017-02,1237.0
2017-03,1273.0
2017-04,1239.0
2017-05,1205.0
2017-06,1353.0
2017-07,1254.0
2017-08,1336.0
2017-09,1277.0
2017-10,1360.0
2017-11,1295.0
2017-12,1312.0
2018-01,1311.0
2018-02,1331.0
2018-03,1381.0
2018-04,1365.0
2018-05,1331.0
2018-06,1338.0
2018-07,1333.0
2018-08,1293.0
2018-09,1320.0
2018-10,1280.0
2018-11,1334.0
2018-12,1320.0
2019-01,1254.0
2019-02,1302.0
2019-03,1291.0
2019-04,1298.0
2019-05,1338.0
2019-06,1301.0
2019-07,1347.0
2019-08,1528.0
2019-09,1491.0
2019-10,1538.0
2019-11,1522.0
2019-12,1461.0
2020-01,1500.0
2020-02,1440.0
2020-03,1348.0
2020-04,1050.0
2020-05,1253.0
2020-06,1329.0
2020-07,1526.0
2020-08,1564.0
2020-09,1643.0
2020-10,1622.0
2020-11,1713.0
2020-12,1760.0
