,job_gains_private
2000-01,3001.33
2000-02,3001.33
2000-03,3001.33
2000-04,2813.0
2000-05,2813.0
2000-06,2813.0
2000-07,2855.33
2000-08,2855.33
2000-09,2855.33
2000-10,2781.67
2000-11,2781.67
2000-12,2781.67
2001-01,2886.33
2001-02,2886.33
2001-03,2886.33
2001-04,2653.67
2001-05,2653.67
2001-06,2653.67
2001-07,2556.0
2001-08,2556.0
2001-09,2556.0
2001-10,2515.33
2001-11,2515.33
2001-12,2515.33
2002-01,2741.67
2002-02,2741.67
2002-03,2741.67
2002-04,2614.67
2002-05,2614.67
2002-06,2614.67
2002-07,2560.33
2002-08,2560.33
2002-09,2560.33
2002-10,2495.33
2002-11,2495.33
2002-12,2495.33
2003-01,2542.0
2003-02,2542.0
2003-03,2542.0
2003-04,2460.33
2003-05,2460.33
2003-06,2460.33
2003-07,2478.0
2003-08,2478.0
2003-09,2478.0
2003-10,2510.33
2003-11,2510.33
2003-12,2510.33
2004-01,2623.33
2004-02,2623.33
2004-03,2623.33
2004-04,2574.0
2004-05,2574.0
2004-06,2574.0
2004-07,2561.0
2004-08,2561.0
2004-09,2561.0
2004-10,2616.0
2004-11,2616.0
2004-12,2616.0
2005-01,2593.0
2005-02,2593.0
2005-03,2593.0
2005-04,2584.33
2005-05,2584.33
2005-06,2584.33
2005-07,2674.33
2005-08,2674.33
2005-09,2674.33
2005-10,2604.0
2005-11,2604.0
2005-12,2604.0
2006-01,2626.67
2006-02,2626.67
2006-03,2626.67
2006-04,2588.67
2006-05,2588.67
2006-06,2588.67
2006-07,2515.0
2006-08,2515.0
2006-09,2515.0
2006-10,2590.0
2006-11,2590.0
2006-12,2590.0
2007-01,2605.0
2007-02,2605.0
2007-03,2605.0
2007-04,2549.0
2007-05,2549.0
2007-06,2549.0
2007-07,2458.67
2007-08,2458.67
2007-09,2458.67
2007-10,2562.33
2007-11,2562.33
2007-12,2562.33
2008-01,2440.0
2008-02,2440.0
2008-03,2440.0
2008-04,2427.0
2008-05,2427.0
2008-06,2427.0
2008-07,2314.67
2008-08,2314.67
2008-09,2314.67
2008-10,2246.0
2008-11,2246.0
2008-12,2246.0
2009-01,1972.67
2009-02,1972.67
2009-03,1972.67
2009-04,2141.67
2009-05,2141.67
2009-06,2141.67
2009-07,2133.0
2009-08,2133.0
2009-09,2133.0
2009-10,2221.67
2009-11,2221.67
2009-12,2221.67
2010-01,2108.33
2010-02,2108.33
2010-03,2108.33
2010-04,2331.67
2010-05,2331.67
2010-06,2331.67
2010-07,2247.0
2010-08,2247.0
2010-09,2247.0
2010-10,2350.67
2010-11,2350.67
2010-12,2350.67
2011-01,2180.0
2011-02,2180.0
2011-03,2180.0
2011-04,2322.0
2011-05,2322.0
2011-06,2322.0
2011-07,2401.67
2011-08,2401.67
2011-09,2401.67
2011-10,2288.33
2011-11,2288.33
2011-12,2288.33
2012-01,2360.0
2012-02,2360.0
2012-03,2360.0
2012-04,2350.33
2012-05,2350.33
2012-06,2350.33
2012-07,2293.67
2012-08,2293.67
2012-09,2293.67
2012-10,2370.0
2012-11,2370.0
2012-12,2370.0
2013-01,2313.67
2013-02,2313.67
2013-03,2313.67
2013-04,2384.0
2013-05,2384.0
2013-06,2384.0
2013-07,2352.67
2013-08,2352.67
2013-09,2352.67
2013-10,2418.33
2013-11,2418.33
2013-12,2418.33
2014-01,2317.67
2014-02,2317.67
2014-03,2317.67
2014-04,2484.67
2014-05,2484.67
2014-06,2484.67
2014-07,2415.67
2014-08,2415.67
2014-09,2415.67
2014-10,2539.0
2014-11,2539.0
2014-12,2539.0
2015-01,2348.67
2015-02,2348.67
2015-03,2348.67
2015-04,2526.67
2015-05,2526.67
2015-06,2526.67
2015-07,2448.0
2015-08,2448.0
2015-09,2448.0
2015-10,2605.67
2015-11,2605.67
2015-12,2605.67
2016-01,2383.0
2016-02,2383.0
2016-03,2383.0
2016-04,2482.0
2016-05,2482.0
2016-06,2482.0
2016-07,2572.33
2016-08,2572.33
2016-09,2572.33
2016-10,2474.33
2016-11,2474.33
2016-12,2474.33
2017-01,2476.0
2017-02,2476.0
2017-03,2476.0
2017-04,2540.33
2017-05,2540.33
2017-06,2540.33
2017-07,2441.33
2017-08,2441.33
2017-09,2441.33
2017-10,2600.33
2017-11,2600.33
2017-12,2600.33
2018-01,2498.0
2018-02,2498.0
2018-03,2498.0
2018-04,2550.67
2018-05,2550.67
2018-06,2550.67
2018-07,2502.0
2018-08,2502.0
2018-09,2502.0
2018-10,2585.33
2018-11,2585.33
2018-12,2585.33
2019-01,2486.67
2019-02,2486.67
2019-03,2486.67
2019-04,2545.67
2019-05,2545.67
2019-06,2545.67
2019-07,2468.0
2019-08,2468.0
2019-09,2468.0
2019-10,2621.33
2019-11,2621.33
2019-12,2621.33
2020-01,2321.0
2020-02,2321.0
2020-03,2321.0
2020-04,1916.33
2020-05,1916.33
2020-06,1916.33
2020-07,3601.33
2020-08,3601.33
2020-09,3601.33
2020-10,2918.67
2020-11,2918.67
2020-12,2918.67
2021-01,2774.0
2021-02,2774.0
2021-03,2774.0
2021-04,2732.0
2021-05,2732.0
2021-06,2732.0
2021-07,2960.67
2021-08,2960.67
2021-09,2960.67
2021-10,3193.33
2021-11,3193.33
2021-12,3193.33
2022-01,2812.67
2022-02,2812.67
2022-03,2812.67
2022-04,2751.0
2022-05,2751.0
2022-06,2751.0
2022-07,2938.0
2022-08,2938.0
2022-09,2938.0
2022-10,2681.67
2022-11,2681.67
2022-12,2681.67
