DATE,avg_expenditure_55_64,avg_expenditure_35_44,avg_expenditure_25_34,avg_expenditure_45_54,CPI,employees_construction,HCAI_GOVT,houses-for-sale-to-sold,HCAI_PP,HCAI_GSE,MORTGAGE30US,GDP,PERMIT,pvt_owned_house_under_const,personal_saving_rate,population,house_units_completed,retail_sales_home_furnishing_stores,UNRATE,unrate_construction,industrial_production_cement,producer_price_index_concrete_brick,job_gains_private,residential_const_val,target,homeownership,nonresidential_const_val,avg_expenditure_35_54,gdp_per_capita,CPI_TREND,GDP_RATE,GDP_TREND,EMP_CONST_RATE,EMP_CONST_TREND,HCAI,houses-for-sale-to-sold-rate,HOUSES_S2S_TREND,industrial_production_cement_cum,cpi_cum,houses-for-sale-to-sold-cum,job_gains_private_cum,pvt_owned_house_under_const_cum,PERMIT_cum,house_units_completed_cum,industrial_production_cement_rate,pvt_owned_house_under_const_rate,PERMIT_rate,job_gains_private_rate,house_units_completed_rate,PERMIT_TREND,job_gains_private_trend,pvt_owned_house_under_const_trend,house_units_completed_trend
2000-01,39517.0,45296.0,38987.0,46308.0,0.297088532382659,6752.0,20.48,1.4586150226995167,17.08718836,6.699502667,8.21,10002.179,1727.0,991.0,5.0,281304.0,1574.0,7484.0,4.0,2.272125885509337,144.613,143.2,3001.33,353065.0,100.551,67.1,247213.0,91604.0,0.0355564762676677,UP,,DOWN,,DOWN,14.755563675666666,,DOWN,144.613,0.297088532382659,1.4586150226995167,3001.33,991.0,1727.0,1574.0,,,,,,DOWN,DOWN,DOWN,DOWN
2000-02,39694.0,45443.0,39029.0,46456.0,0.592417061611377,6730.0,20.02,1.4586150226995167,16.92718836,6.639502667,8.325,10084.029,1692.0,998.0,4.5,281536.67,1677.0,7548.0,4.1,2.360854001118021,143.9732,143.7,3001.33,351933.0,101.339,67.13,265200.0,91899.0,0.0358178172669301,UP,,DOWN,,DOWN,14.528897009,,DOWN,288.5862,0.889505593994036,2.9172300453990334,6002.66,1989.0,3419.0,3251.0,,,,,,DOWN,DOWN,DOWN,DOWN
2000-03,39871.0,45590.0,39071.0,46604.0,0.824499411071837,6811.0,19.56,1.4586150226995167,16.76718836,6.579502667,8.24,10165.879,1651.0,988.0,4.3,281769.34,1704.0,7599.0,4.0,2.163323025660538,151.6946,143.7,3001.33,353452.0,102.126,67.16,268020.0,92194.0,0.0360787266634474,UP,,DOWN,,DOWN,14.302230342333331,,DOWN,440.2808,1.7140050050658728,4.37584506809855,9003.99,2977.0,5070.0,4955.0,,,,,,DOWN,DOWN,DOWN,DOWN
2000-04,40048.0,45737.0,39113.0,46752.0,0.058411214953279,6794.0,19.085,1.4816045409242156,16.59375416,6.517766177,8.1525,10247.72,1597.0,989.0,4.8,282002.0,1610.0,7729.0,3.8,1.7578579175523736,142.1024,143.7,2813.0,356188.0,102.922,67.2,264832.0,92489.0,0.0363391748994687,UP,,DOWN,,DOWN,14.065506778999998,,DOWN,582.3832,1.7724162200191518,5.8574496090227655,11816.99,3966.0,6667.0,6565.0,,,,,,DOWN,DOWN,DOWN,DOWN
2000-05,40225.0,45884.0,39155.0,46900.0,0.116754232340923,6770.0,19.445,1.4816045409242156,16.18375416,6.437766177,8.515,10271.2,1543.0,985.0,4.8,282257.67,1682.0,7673.0,4.0,1.6094379124341005,143.7562,149.2,2813.0,349907.0,103.677,67.37,275989.0,92784.0,0.0363894451477616,UP,,DOWN,,DOWN,14.022173445666668,,DOWN,726.1394,1.8891704523600747,7.339054149946981,14629.99,4951.0,8210.0,8247.0,,,,,,DOWN,DOWN,DOWN,DOWN
2000-06,40402.0,46031.0,39197.0,47048.0,0.524781341107882,6778.0,19.805,1.5686159179138452,15.77375416,6.357766177,8.288,10294.679999999998,1572.0,982.0,4.8,282513.34,1530.0,7593.0,4.0,1.5260563034950492,140.99,144.3,2813.0,348133.0,104.424,67.54,271873.0,93079.0,0.0364396244085323,UP,,DOWN,,DOWN,13.978840112333335,,DOWN,867.1294,2.4139517934679566,8.907670067860826,17442.989999999998,5933.0,9782.0,9777.0,,,,,,DOWN,DOWN,DOWN,DOWN
2000-07,40579.0,46178.0,39239.0,47196.0,0.23201856148492,6794.0,20.153,1.410986973710262,15.35747403,6.273571575,8.1475,10318.165,1542.0,979.0,5.1,282769.0,1495.0,7748.0,4.0,1.4816045409242156,140.54,144.3,2855.33,337374.0,105.053,67.7,274805.0,93374.0,0.0364897319013046,UP,,DOWN,,DOWN,13.928015201666666,,DOWN,1007.6694,2.6459703549528766,10.318657041571088,20298.32,6912.0,11324.0,11272.0,,,,,,DOWN,DOWN,DOWN,DOWN
2000-08,40756.0,46325.0,39281.0,47344.0,0.0,6796.0,20.453,1.4816045409242156,15.49747403,6.273571575,8.0275,10357.355,1552.0,976.0,5.2,283018.67,1573.0,7682.0,4.1,1.62924053973028,144.0,144.3,2855.33,337583.0,105.768,67.63000000000001,284502.0,93669.0,0.0365960132594786,DOWN,,DOWN,,DOWN,14.074681868333334,,DOWN,1151.6694,2.6459703549528766,11.800261582495304,23153.65,7888.0,12876.0,12845.0,,,,,,DOWN,DOWN,DOWN,DOWN
2000-09,40933.0,46472.0,39323.0,47492.0,0.520833333333312,6807.0,20.753,1.3862943611198906,15.63747403,6.273571575,7.912000000000001,10396.545,1570.0,970.0,4.5,283268.34,1528.0,7665.0,3.9,1.5260563034950492,142.1897,144.3,2855.33,339048.0,106.538,67.56,289543.0,93964.0,0.0367021072669116,UP,,DOWN,,DOWN,14.221348535,,DOWN,1293.8591,3.1668036882861887,13.186555943615192,26008.980000000003,8858.0,14446.0,14373.0,,,,,,DOWN,DOWN,DOWN,DOWN
2000-10,41110.0,46619.0,39365.0,47640.0,0.172711571675311,6814.0,21.041,1.3862943611198906,15.77915993,6.274358113,7.795,10435.744,1577.0,972.0,4.8,283518.0,1513.0,7737.0,3.9,1.589235205116581,143.4779,144.3,2781.67,344095.0,107.382,67.5,286731.0,94259.0,0.0368080474608314,UP,,DOWN,,DOWN,14.364839347666669,,DOWN,1437.337,3.3395152599615,14.572850304735084,28790.65,9830.0,16023.0,15886.0,,,,,,DOWN,DOWN,DOWN,DOWN
