DATE,target
2000-01,100.551
2000-02,101.339
2000-03,102.126
2000-04,102.922
2000-05,103.677
2000-06,104.424
2000-07,105.053
2000-08,105.768
2000-09,106.538
2000-10,107.382
2000-11,108.301
2000-12,109.14
2001-01,109.846
2001-02,110.499
2001-03,111.108
2001-04,111.651
2001-05,112.163
2001-06,112.796
2001-07,113.491
2001-08,114.167
2001-09,114.811
2001-10,115.309
2001-11,115.857
2001-12,116.456
2002-01,117.143
2002-02,117.845
2002-03,118.686
2002-04,119.61
2002-05,120.724
2002-06,121.812
2002-07,122.887
2002-08,123.83
2002-09,124.779
2002-10,125.734
2002-11,126.669
2002-12,127.623
2003-01,128.46
2003-02,129.355
2003-03,130.14700000000002
2003-04,130.884
2003-05,131.734
2003-06,132.649
2003-07,133.77700000000002
2003-08,134.968
2003-09,136.29399999999998
2003-10,137.532
2003-11,138.793
2003-12,140.179
2004-01,141.64600000000002
2004-02,143.191
2004-03,145.059
2004-04,146.592
2004-05,148.185
2004-06,149.85
2004-07,151.338
2004-08,152.634
2004-09,154.179
2004-10,155.75
2004-11,157.52700000000002
2004-12,159.33
2005-01,161.28799999999998
2005-02,163.344
2005-03,165.812
2005-04,167.50099999999998
2005-05,169.35
2005-06,171.19
2005-07,172.859
2005-08,174.44299999999998
2005-09,176.437
2005-10,178.02700000000002
2005-11,179.68
2005-12,180.91
2006-01,182.32
2006-02,183.287
2006-03,184.364
2006-04,184.329
2006-05,184.156
2006-06,183.507
2006-07,183.067
2006-08,182.596
2006-09,182.798
2006-10,183.198
2006-11,183.609
2006-12,184.138
2007-01,184.516
2007-02,184.598
2007-03,184.149
2007-04,183.01
2007-05,181.6
2007-06,180.254
2007-07,179.111
2007-08,178.11700000000002
2007-09,177.558
2007-10,176.62400000000002
2007-11,175.14700000000002
2007-12,174.342
2008-01,173.132
2008-02,171.54
2008-03,170.053
2008-04,168.338
2008-05,166.65900000000002
2008-06,165.017
2008-07,163.566
2008-08,161.988
2008-09,160.308
2008-10,158.326
2008-11,156.141
2008-12,153.618
2009-01,151.506
2009-02,150.014
2009-03,148.66
2009-04,147.94799999999998
2009-05,147.695
2009-06,148.09
2009-07,148.409
2009-08,148.27700000000002
2009-09,148.024
2009-10,147.849
2009-11,148.134
2009-12,147.929
2010-01,147.395
2010-02,145.631
2010-03,145.859
2010-04,146.404
2010-05,146.394
2010-06,145.72
2010-07,144.99
2010-08,143.915
2010-09,143.018
2010-10,142.531
2010-11,142.172
2010-12,142.061
2011-01,141.52200000000002
2011-02,140.351
2011-03,139.982
2011-04,140.01
2011-05,139.905
2011-06,139.862
2011-07,139.73
2011-08,139.308
2011-09,138.66899999999998
2011-10,137.953
2011-11,137.153
2011-12,136.675
2012-01,136.608
2012-02,136.533
2012-03,137.905
2012-04,139.155
2012-05,140.155
2012-06,141.03
2012-07,141.66899999999998
2012-08,142.281
2012-09,142.909
2012-10,143.602
2012-11,144.586
2012-12,145.503
2013-01,146.827
2013-02,147.783
2013-03,149.963
2013-04,151.519
2013-05,152.849
2013-06,154.19899999999998
2013-07,155.60399999999998
2013-08,156.965
2013-09,158.227
2013-10,159.24200000000002
2013-11,160.07399999999998
2013-12,160.993
2014-01,161.92700000000002
2014-02,162.52700000000002
2014-03,163.088
2014-04,163.395
2014-05,163.662
2014-06,164.062
2014-07,164.576
2014-08,165.21599999999998
2014-09,165.907
2014-10,166.643
2014-11,167.33700000000002
2014-12,168.05200000000002
2015-01,168.634
2015-02,169.132
2015-03,169.801
2015-04,170.299
2015-05,170.882
2015-06,171.467
2015-07,172.12900000000002
2015-08,172.938
2015-09,173.83
2015-10,174.793
2015-11,175.739
2015-12,176.545
2016-01,177.27200000000002
2016-02,177.65200000000002
2016-03,178.168
2016-04,178.768
2016-05,179.43099999999998
2016-06,180.079
2016-07,180.829
2016-08,181.854
2016-09,182.827
2016-10,183.756
2016-11,184.765
2016-12,185.726
2017-01,186.8
2017-02,187.314
2017-03,187.992
2017-04,188.727
2017-05,189.622
2017-06,190.512
2017-07,191.454
2017-08,192.675
2017-09,193.774
2017-10,194.82
2017-11,195.96400000000003
2017-12,197.17
2018-01,198.294
2018-02,199.211
2018-03,199.952
2018-04,200.655
2018-05,201.433
2018-06,202.243
2018-07,202.926
2018-08,203.71400000000003
2018-09,204.389
2018-10,205.159
2018-11,205.692
2018-12,206.149
2019-01,206.495
2019-02,206.792
2019-03,207.017
2019-04,207.51
2019-05,208.157
2019-06,208.677
2019-07,209.319
2019-08,210.145
2019-09,210.97
2019-10,211.874
2019-11,212.819
2019-12,213.906
2020-01,214.904
2020-02,215.721
2020-03,216.314
2020-04,216.80900000000003
2020-05,217.015
2020-06,217.657
2020-07,219.448
2020-08,222.484
2020-09,225.937
2020-10,229.888
2020-11,233.253
2020-12,236.433
2021-01,239.413
